,Title,ID,Genre ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Primary Genre,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV,Thriller,War,Western
0,Locke,329571,[99],2013-12-03,2013,12,3,/o0FVL75kkQ77Bkpt1fVEEEyOLBY.jpg,Documentary,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Bee Movie,5559,"[10751, 16, 12, 35]",2007-10-28,2007,10,28,/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,Family,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,The Social Network,37799,[18],2010-10-01,2010,10,1,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Kick-Ass,23483,"[28, 80]",2010-03-22,2010,3,22,/GPiMXaDC2NdDIldLgtijHFTeKH.jpg,Action,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,True Grit,44264,"[18, 12, 37]",2010-12-22,2010,12,22,/rxeRwN7dxHSLE0asOEIc1Q5Mcxy.jpg,Drama,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,Scott Pilgrim vs. the World,22538,"[35, 28, 10749, 10402, 14]",2010-08-12,2010,8,12,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,Comedy,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
6,Boyhood,85350,[18],2014-06-05,2014,6,5,/1rlqd3j5UC4r1TF3UmcKupMyuxR.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,The Lego Movie,137106,"[12, 16, 35, 10751, 14]",2014-02-06,2014,2,6,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,Adventure,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8,Gone Girl,210577,"[9648, 53, 18]",2014-10-01,2014,10,1,/qymaJhucquUwjpb8oiqynMeXnID.jpg,Mystery,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
9,Mad Max: Fury Road,76341,"[28, 12, 878]",2015-05-13,2015,5,13,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Up,14160,"[16, 35, 10751, 12]",2009-05-28,2009,5,28,/eAdO0qa9m0NFSVLZ26PvCwmPlsr.jpg,Animation,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Requiem for a Dream,641,"[80, 18, 53]",2000-10-06,2000,10,6,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,Finding Nemo,12,"[16, 10751]",2003-05-30,2003,5,30,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,Animation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Stuart Little,10137,"[10751, 16, 14, 35]",1999-12-17,1999,12,17,/jQ1ONtcKGKmqSn9V2bLwF1wYF3F.jpg,Family,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14,Rise of the Planet of the Apes,61791,"[53, 28, 18, 878]",2011-08-03,2011,8,3,/cjLsuP75UDlRdJVMXzXg3TJ4umX.jpg,Thriller,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
15,Good Will Hunting,489,[18],1997-12-05,1997,12,5,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,The Lord of the Rings: The Return of the King,122,"[12, 14, 28]",2003-12-01,2003,12,1,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,Adventure,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,Shutter Island,11324,"[18, 53, 9648]",2010-02-14,2010,2,14,/kve20tXwUZpu4GUX8l6X7Z4jmL6.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
18,The Shawshank Redemption,278,"[18, 80]",1994-09-23,1994,9,23,/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Saving Private Ryan,857,"[18, 36, 10752]",1998-07-24,1998,7,24,/1wY4psJ5NVEhCuOYROwLH2XExM2.jpg,Drama,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
20,Stand by Me,235,"[80, 18]",1986-08-08,1986,8,8,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Spirited Away,129,"[16, 10751, 14]",2001-07-20,2001,7,20,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,Animation,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,Walk the Line,69,"[18, 10402, 10749]",2005-09-13,2005,9,13,/zMkD6FVikyPNnigoupO7vD5ti9p.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
23,Raiders of the Lost Ark,85,"[12, 28]",1981-06-12,1981,6,12,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Pulp Fiction,680,"[53, 80]",1994-09-10,1994,9,10,/plnlrtBUULT0rh3Xsjmpubiso3L.jpg,Thriller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Fight Club,550,[18],1999-10-15,1999,10,15,/8kNruSfhk5IoE4eZOc4UpvDn6tq.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Forrest Gump,13,"[35, 18, 10749]",1994-07-06,1994,7,6,/h5J4W4veyxMXDMjeNxZI46TsHOb.jpg,Comedy,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,Heat,949,"[28, 80, 18, 53]",1995-12-15,1995,12,15,/obpPQskaVpSiC9RcJRB6iWDTCXS.jpg,Action,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,Whiplash,244786,"[18, 10402]",2014-10-10,2014,10,10,/9E949mB5NEq3BZu9nHQgWF2uGGN.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29,The Dark Knight,155,"[18, 28, 80, 53]",2008-07-16,2008,7,16,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Drama,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30,L.A. Confidential,2118,"[80, 53]",1997-09-19,1997,9,19,/Rzope4Pk93Rg1Q2Ae8H0FYwa7n.jpg,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,GoodFellas,769,"[18, 80]",1990-09-12,1990,9,12,/6QMSLvU5ziIL2T6VrkaKzN2YkxK.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Taxi Driver,103,"[80, 18]",1976-02-09,1976,2,9,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,Jaws,578,"[27, 53, 12]",1975-06-18,1975,6,18,/s2xcqSFfT6F7ZXHxowjxfG0yisT.jpg,Horror,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
34,Vertigo,426,"[9648, 10749, 53]",1958-05-28,1958,5,28,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,Mystery,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
35,American Psycho,1359,"[53, 18, 80, 27]",2000-04-13,2000,4,13,/3ddHhfMlZHZCefHDeaP8FzSoH4Y.jpg,Thriller,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
36,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,"[18, 35, 10752]",1964-01-29,1964,1,29,/3clod4q8qkgU7pyOmZ7Re0G7GDc.jpg,Drama,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37,Se7en,807,"[80, 9648, 53]",1995-09-22,1995,9,22,/6yoghtyTpznpBik8EngEmJskVUO.jpg,Crime,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38,Fargo,275,"[80, 18, 53]",1996-03-08,1996,3,8,/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
39,E.T. the Extra-Terrestrial,601,"[878, 12, 10751, 14]",1982-06-11,1982,6,11,/trEGc4UQWj8eLS5MyeGRxeTwlqY.jpg,Science Fiction,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
40,Blade Runner,78,"[878, 18, 53]",1982-06-25,1982,6,25,/vfzE3pjE5G7G7kcZWrA3fnbZo7V.jpg,Science Fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
41,The Empire Strikes Back,1891,"[12, 28, 878]",1980-05-20,1980,5,20,/7BuH8itoSrLExs2YZSsM01Qk2no.jpg,Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Drive,64690,"[18, 53, 80]",2011-06-17,2011,6,17,/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43,Airplane!,813,[35],1980-07-02,1980,7,2,/hiURvJjCgk0s10urHVCg80TFF11.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,The Revenant,281957,"[37, 18, 12]",2015-12-25,2015,12,25,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,Western,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45,Back to the Future,105,"[12, 35, 878, 10751]",1985-07-03,1985,7,3,/xlBivetfrtF84Yx0zISShnNtHYe.jpg,Adventure,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
46,Ratatouille,2062,"[16, 35, 10751, 14]",2007-06-22,2007,6,22,/npHNjldbeTHdKKw28bJKs7lzqzj.jpg,Animation,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47,The Big Lebowski,115,"[35, 80]",1998-03-06,1998,3,6,/d4J7GotCjvDJBAYayZBTc5nLbbP.jpg,Comedy,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Spider-Man 2,558,"[28, 12, 14]",2004-06-25,2004,6,25,/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,Action,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,Kung Fu Panda,9502,"[28, 12, 16, 10751, 35]",2008-06-04,2008,6,4,/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,Action,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,Catch Me If You Can,640,"[18, 80]",2002-12-25,2002,12,25,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,The Departed,1422,"[18, 53, 80]",2006-10-05,2006,10,5,/kWWAt2FMRbqLFFy8o5R4Zr8cMAb.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
52,The Green Mile,497,"[14, 18, 80]",1999-12-10,1999,12,10,/velWPhVMQeQKcxggNEU8YmIo52R.jpg,Fantasy,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
53,Toy Story 3,10193,"[16, 10751, 35]",2010-06-16,2010,6,16,/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,Animation,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,The Lord of the Rings: The Fellowship of the Ring,120,"[12, 14, 28]",2001-12-18,2001,12,18,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,Adventure,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,A Beautiful Mind,453,"[18, 10749]",2001-12-11,2001,12,11,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
56,The Godfather: Part II,240,"[18, 80]",1974-12-20,1974,12,20,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,Rocky,1366,"[18, 28]",1976-11-21,1976,11,21,/i5xiwdSsrecBvO7mIfAJixeEDSg.jpg,Drama,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,American Beauty,14,[18],1999-09-15,1999,9,15,/wby9315QzVKdW9BonAefg8jGTTb.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,The Town,23168,"[80, 18, 53]",2010-09-15,2010,9,15,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
60,The Incredibles,9806,"[28, 12, 16, 10751]",2004-11-05,2004,11,5,/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,Action,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,Alien,348,"[27, 878]",1979-05-25,1979,5,25,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
62,Eternal Sunshine of the Spotless Mind,38,"[878, 18, 10749]",2004-03-19,2004,3,19,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,Science Fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
63,Harry Potter and the Prisoner of Azkaban,673,"[12, 14]",2004-05-31,2004,5,31,/v0wMKEEGaNc9evdqGYfIvoWXh24.jpg,Adventure,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Terminator 2: Judgment Day,280,"[28, 53, 878]",1991-07-03,1991,7,3,/weVXMD5QBGeQil4HEATZqAkXeEc.jpg,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
65,Ferris Bueller's Day Off,9377,[35],1986-06-11,1986,6,11,/kKhvDqvxaXSJXWjVKjCTeHvNKd3.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12 Angry Men,389,[18],1957-04-10,1957,4,10,/wh0f80G6GZvYBNiYmvqFngt3IYq.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,The Grand Budapest Hotel,120467,"[35, 18]",2014-02-26,2014,2,26,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,Comedy,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,Argo,68734,"[18, 53]",2012-10-11,2012,10,11,/2HVkfkgY1nvWTCRj3H1zTmlghUG.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
69,Captain America: Civil War,271110,"[12, 28, 878]",2016-04-27,2016,4,27,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,Everybody Wants Some!!,295699,[35],2016-03-30,2016,3,30,/vAIFZ8bw0spSvcIYgfuX99B3H2w.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Night of the Living Dead,10331,"[27, 53]",1968-10-04,1968,10,4,/rSBkU4g4uvZQIMOSpvrmvR4VwhA.jpg,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
72,Little Caesar,27899,"[18, 28, 80, 10749]",1931-01-25,1931,1,25,/9TSzQm3aE7FdnutXIGmHc3G4llE.jpg,Drama,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
73,Gilda,3767,"[18, 10749, 53]",1946-04-25,1946,4,25,/hz2gG5D3GHaaPZUSnRNjMC3Wl1r.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
74,Scarlet Street,17058,"[18, 53]",1945-12-25,1945,12,25,/pioF72zZq3Qu3p5DkkAq59ZEb6B.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
75,Cat People,25508,"[27, 18]",1942-12-05,1942,12,5,/xbe5w7MXOdqsu0ZZRiHHAh6oQlc.jpg,Horror,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
76,Star Wars: The Force Awakens,140607,"[28, 12, 878, 14]",2015-12-15,2015,12,15,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Action,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
77,Interstellar,157336,"[12, 18, 878]",2014-11-05,2014,11,5,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,Adventure,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,Django Unchained,68718,"[18, 37]",2012-12-25,2012,12,25,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
79,Guardians of the Galaxy,118340,"[28, 878, 12]",2014-07-30,2014,7,30,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,Birdman or (The Unexpected Virtue of Ignorance),194662,"[18, 35]",2014-08-27,2014,8,27,/lvWL5ZRlYFh7M7fOvYswcRqyprI.jpg,Drama,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,The Wolf of Wall Street,106646,"[80, 18, 35]",2013-12-25,2013,12,25,/sOxr33wnRuKazR9ClHek73T8qnK.jpg,Crime,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,Inside Out,150540,"[16, 10751, 12, 18, 35]",2015-06-09,2015,6,9,/lRHE0vzf3oYJrhbsHXjIkF4Tl5A.jpg,Animation,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
83,Inception,27205,"[28, 878, 12]",2010-07-15,2010,7,15,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,The Martian,286217,"[18, 12, 878]",2015-09-30,2015,9,30,/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,Drama,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
85,Gravity,49047,"[878, 53, 18]",2013-10-03,2013,10,3,/wmUeEacsFZzDndaeOtNNmy26rYJ.jpg,Science Fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
86,Deadpool,293660,"[28, 12, 35]",2016-02-09,2016,2,9,/yGSxMiF0cYuAiyuve5DA6bnWEOI.jpg,Action,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,The Avengers,24428,"[878, 28, 12]",2012-04-25,2012,4,25,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Science Fiction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Nightcrawler,242582,"[80, 18, 53]",2014-10-23,2014,10,23,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,Crime,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
89,Inglourious Basterds,16869,"[18, 28, 53, 10752]",2009-08-18,2009,8,18,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,Drama,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
90,Star Wars,11,"[12, 28, 878]",1977-05-25,1977,5,25,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,The Dark Knight Rises,49026,"[28, 80, 18, 53]",2012-07-16,2012,7,16,/vzvKcPQ4o7TjWeGIn0aGC9FeVNu.jpg,Action,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
92,Avengers: Age of Ultron,99861,"[28, 12, 878]",2015-04-22,2015,4,22,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,The Shining,694,"[27, 53]",1980-05-23,1980,5,23,/vJq1poTiRDFdLCSTCNrzQuPtnVz.jpg,Horror,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
94,The Godfather,238,"[18, 80]",1972-03-14,1972,3,14,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Jurassic World,135397,"[28, 12, 878, 53]",2015-06-06,2015,6,6,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
96,Kingsman: The Secret Service,207703,"[80, 35, 28, 12]",2014-12-13,2014,12,13,/ay7xwXn1G9fzX9TUBlkGA584rGi.jpg,Crime,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Skyfall,37724,"[28, 12, 53]",2012-10-25,2012,10,25,/izrHg2UzxG3YXTBcKFaUbYp9LWA.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,Silver Linings Playbook,82693,"[18, 35, 10749]",2012-09-08,2012,9,8,/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg,Drama,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
99,Edge of Tomorrow,137113,"[28, 878]",2014-05-27,2014,5,27,/uUHvlkLavotfGsNtosDy8ShsIYF.jpg,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,Jurassic Park,329,"[12, 878]",1993-06-11,1993,6,11,/9i3plLl89DHMz7mahksDaAo7HIS.jpg,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,Kill Bill: Vol. 1,24,"[28, 80]",2003-10-10,2003,10,10,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,Action,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Ant-Man,102899,"[878, 28, 12]",2015-07-14,2015,7,14,/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,Science Fiction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,Reservoir Dogs,500,"[80, 53]",1992-09-02,1992,9,2,/AjTtJNumZyUDz33VtMlF1K8JPsE.jpg,Crime,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,The Matrix,603,"[28, 878]",1999-03-30,1999,3,30,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,American Hustle,168672,"[18, 80]",2013-12-12,2013,12,12,/z6O1KDhfWDTm5ZBr6Ovr0eg8LqO.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,There Will Be Blood,7345,[18],2007-12-28,2007,12,28,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,The Silence of the Lambs,274,"[80, 18, 53, 27]",1991-02-01,1991,2,1,/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg,Crime,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
108,Batman v Superman: Dawn of Justice,209112,"[28, 12, 14]",2016-03-23,2016,3,23,/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,Action,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,Return of the Jedi,1892,"[12, 28, 878]",1983-05-25,1983,5,25,/mDCBQNhR6R0PVFucJl0O4Hp5klZ.jpg,Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,Pacific Rim,68726,"[28, 878, 12]",2013-07-11,2013,7,11,/mmznhaQDwlHWpUwKuNxtQiubbmM.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,WALL·E,10681,"[16, 10751, 878]",2008-06-22,2008,6,22,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,Animation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
112,Man of Steel,49521,"[28, 12, 14, 878]",2013-06-12,2013,6,12,/7rIPjn5TUK04O25ZkMyHrGNPgLx.jpg,Action,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
113,Memento,77,"[9648, 53]",2000-10-11,2000,10,11,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,Mystery,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
114,The Big Short,318846,"[35, 18]",2015-12-11,2015,12,11,/isuQWbJPbjybBEWdcCaBUPmU0XO.jpg,Comedy,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,The Hobbit: An Unexpected Journey,49051,"[12, 14, 28]",2012-11-26,2012,11,26,/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,Adventure,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,Psycho,539,"[27, 18, 53]",1960-06-22,1960,6,22,/nR4LD4ZJg2n6LZQpcOrLFdMq0cD.jpg,Horror,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
117,The Lord of the Rings: The Two Towers,121,"[12, 14, 28]",2002-12-18,2002,12,18,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,Adventure,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,The Hunger Games: Catching Fire,101299,"[12, 28, 878]",2013-11-15,2013,11,15,/7c1JtraYsjMMnk8Md0IMoyRzqZJ.jpg,Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,Iron Man,1726,"[28, 878, 12]",2008-04-30,2008,4,30,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,The Hunger Games,70160,"[878, 12, 14]",2012-03-12,2012,3,12,/iQK0pkTQC60XR3Zlu2pp8kujoqW.jpg,Science Fiction,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
121,Toy Story,862,"[16, 12, 10751, 35]",1995-10-30,1995,10,30,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Animation,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Apocalypse Now,28,"[18, 10752]",1979-08-15,1979,8,15,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
123,Spectre,206647,"[28, 12, 53]",2015-10-26,2015,10,26,/672kUEMtTHcaVYSVY4eiHEliHFa.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
