,Title,ID,Genre ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Primary Genre,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV,Thriller,War,Western
592,Legion,22894,"[27, 28, 14]",2010-01-21,2010,1,21,/b30W1DVVHnDlcZaNbbISjIWFx2M.jpg,Horror,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
593,The Score,11371,"[28, 80, 53, 9648]",2001-07-13,2001,7,13,/fsb4m9XW59mei8GKznvI3lLzcfp.jpg,Action,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
594,The Sum of All Fears,4614,"[53, 28, 18]",2002-05-31,2002,5,31,/ay5luMXRUCaiKAZoHc7vrRTKVPC.jpg,Thriller,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
595,John Tucker Must Die,9293,"[35, 10749]",2006-07-27,2006,7,27,/l8B01BFBpIyycO2DopROessWzQU.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
596,National Lampoon's European Vacation,11418,"[12, 35, 10749]",1985-07-25,1985,7,25,/6AhVFxvDs2WZgfpC0bm2n2mshaa.jpg,Adventure,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
597,The Time Machine,2135,"[878, 12, 28]",2002-03-04,2002,3,4,/9QB6wIc6XOtoi02uUCLSvY0onSL.jpg,Science Fiction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
598,Coach Carter,7214,"[18, 36]",2005-01-14,2005,1,14,/eYfA48NXSMzt8W5Iqj6GvKKNb8L.jpg,Drama,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
599,Running Scared,7304,"[28, 80, 18, 53]",2006-01-06,2006,1,6,/wVlwZbwJlI5C33STslTyVNRGjg6.jpg,Action,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
600,Gulliver's Travels,38745,"[35, 12, 10751, 14]",2010-12-25,2010,12,25,/tazLyiF4q2w07jXjg4z4CQZgvY.jpg,Comedy,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
601,John Q,8470,"[18, 53, 80]",2002-02-15,2002,2,15,/1pESnHw5gnrNt4xBrHDbezIk2Q6.jpg,Drama,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
